,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency
2461,"Thriller, Drame",114,France,30792,2.6,2.4,50435.0,0.0,17.37,13.14,12.33,9.73,10.64,Autumn,False,0.33,0.0,0,129.0
2462,Comédie,98,France,8891,3.2,2.5,1193842.0,9000000.0,11.94,2.17,4.4,1.31,2.84,Winter,False,0.67,0.33,1,124.0
2463,"Drame, Comédie",96,U.S.A.,46480,3.6,3.4,388344.0,0.0,23.78,22.51,23.35,24.27,22.78,Summer,False,0.33,0.0,0,150.0
2464,Drame,116,U.S.A.,25259,2.0,4.0,413706.0,0.0,12.73,3.73,5.72,2.52,3.67,Autumn,False,0.33,0.0,0,165.0
2465,"Drame, Comédie",114,Palestine,5745,3.5,3.3,55889.0,0.0,13.07,0.8,8.75,4.75,1.06,Winter,False,0.0,0.0,0,74.0
2466,"Drame, Historique",124,Grande-Bretagne,61610,2.7,3.8,216278.0,0.0,18.91,16.13,18.7,18.34,17.38,Summer,False,0.33,0.0,0,161.0
2467,"Comédie, Espionnage",101,France,184368,2.7,2.8,1514422.0,45000000.0,16.17,8.72,12.39,10.3,7.43,Autumn,False,0.0,0.0,0,161.0
2468,Comédie,88,France,196500,1.8,2.4,786444.0,0.0,16.58,6.89,7.94,9.51,7.56,Winter,False,0.33,0.0,0,139.0
2469,Drame,82,Colombie,2608,3.6,3.4,4212.0,0.0,11.33,10.05,12.91,11.87,10.8,Spring,False,0.0,0.0,0,22.0
2470,"Comédie, Policier",114,Argentine,5589,3.4,3.8,10923.0,0.0,23.55,18.62,22.11,20.1,20.92,Autumn,False,0.0,0.0,0,83.0
2471,Comédie,97,U.S.A.,309858,2.2,2.4,560086.0,18000000.0,21.72,17.94,20.75,20.15,17.76,Summer,True,0.33,0.0,0,243.0
2472,"Action, Thriller",91,U.S.A.,67023,3.0,3.2,625772.0,35000000.0,23.44,18.06,24.61,19.88,18.63,Autumn,False,0.0,0.0,0,154.0
2473,Comédie,95,France,194469,3.4,3.9,506241.0,0.0,17.5,9.51,13.01,12.25,11.73,Autumn,False,0.33,0.0,0,161.0
2474,Thriller,84,France,150450,2.9,2.9,520256.0,0.0,20.02,14.38,17.39,13.63,16.72,Autumn,False,0.67,0.0,0,127.0
