title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,season
notting hill,1999-08-18,"Comédie, Romance",124,Roger Michell,Richard Curtis,"Julia Roberts, Hugh Grant, Richard McCabe",U.S.A.,Universal Pictures France (UPF),266 598,"3,9","3,6",99235,42000000.0,Summer
"coluche, l'histoire d'un mec",2008-10-15,Comédie dramatique,103,Antoine de Caunes,"Antoine de Caunes,  Diastème","François-Xavier Demaison, Léa Drucker, Olivier Gourmet",France,Mars Films,294 041,"3,0","2,3",500936,0.0,Autumn
just like heaven,2005-11-23,"Romance, Comédie, Fantastique",95,Mark Waters,"Leslie Dixon, Peter Tolan","Reese Witherspoon, Mark Ruffalo, Donal Logue",U.S.A.,United International Pictures (UIP),294 433,"2,5","2,7",403416,58000000.0,Autumn
deux jours à tuer,2008-04-30,"Drame, Romance",85,Jean Becker,"Eric Assous, Jean Becker","Albert Dupontel, Marie-Josée Croze, Pierre Vaneck",France,StudioCanal,302 315,"3,1","4,0",847710,0.0,Spring
la doublure,2006-03-29,"Comédie, Drame",85,Francis Veber,Francis Veber,"Alice Taglioni, Daniel Auteuil, Michel Aumont",France,Gaumont Columbia Tristar Films,1 164 333,"2,4","2,7",63011,0.0,Spring
panic room,2002-04-24,"Thriller, Policier, Drame",113,David Fincher,David Koepp,"Jodie Foster, Kristen Stewart, Forest Whitaker",U.S.A.,Columbia TriStar Films,475 014,"3,6","3,7",96797,48000000.0,Spring
joy,2015-12-30,"Biopic, Drame",124,David O. Russell,David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper",U.S.A.,Twentieth Century Fox France,231 810,"3,0","3,5",784456,60000000.0,Winter
the holiday,2006-12-27,"Comédie, Romance",131,Nancy Meyers,Nancy Meyers,"Cameron Diaz, Kate Winslet, Jude Law",U.S.A.,Universal Pictures France (UPF),399 396,"2,4","3,4",611032,85000000.0,Winter
madame bovary,2015-11-04,"Historique, Drame",119,Sophie Barthes,"Sophie Barthes, Felipe Marino","Mia Wasikowska, Ezra Miller, Henry Lloyd-Hughes",Grande-Bretagne,Jour2fête,19 810,"2,6","2,7",240228,0.0,Autumn
the sisters brothers,2018-09-19,"Western, Aventure",121,Jacques Audiard,"Jacques Audiard, Thomas Bidegain","John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal",France,UGC Distribution,298 782,"4,3","3,9",613368,38000000.0,Autumn
home,2015-04-15,"Animation, Comédie, Aventure",94,Tim Johnson,"Tom J. Astle, Matt Ember","Alex Lutz, Jim Parsons, Leïla Bekhti",U.S.A.,Twentieth Century Fox France,311 292,"3,2","3,3",1185700,135000000.0,Spring
l'amour est une fête,2018-09-19,Comédie,119,Cédric Anger,Cédric Anger,"Guillaume Canet, Gilles Lellouche, Michel Fau",France,Mars Films,81 674,"3,1","2,0",519600,0.0,Autumn
dumbo,2019-03-27,"Famille, Aventure, Fantastique",112,Tim Burton,Ehren Kruger,"Colin Farrell, Danny DeVito, Michael Keaton",U.S.A.,The Walt Disney Company France,550 574,"3,7","3,8",546845,812000.0,Spring
les secrets de mon père,2022-09-21,Animation,74,Véra Belmont,"Véra Belmont, Valérie Zenatti","Michèle Bernier, Jacques Gamblin, Arthur Dupont",France,Le Pacte,11 978,"3,3","3,6",83294,0.0,Autumn
le mystère henri pick,2019-03-06,"Comédie, Drame",101,Rémi Bezançon,"Rémi Bezançon, Vanessa Portal","Fabrice Luchini, Camille Cottin, Alice Isaaz",France,Gaumont Distribution,362 932,"3,2","3,6",593491,0.0,Spring
the new mutants,2020-08-26,"Epouvante-horreur, Thriller, Fantastique, Science fiction",93,Josh Boone,"Josh Boone, Knate Lee","Maisie Williams, Anya Taylor-Joy, Charlie Heaton",U.S.A.,The Walt Disney Company France,160 373,"2,3","2,1",320847,67000000.0,Summer
unlocked,2017-05-31,"Thriller, Espionnage, Action",103,Michael Apted,Peter O'Brien (XIV),"Kevin Shen, Noomi Rapace, Orlando Bloom",U.S.A.,Paramount Pictures France,122 691,"3,0","3,1",173785,0.0,Spring
la daronne,2020-09-09,"Policier, Comédie, Drame",106,Jean-Paul Salomé,"Jean-Paul Salomé, Hannelore Cayre","Isabelle Huppert, Hippolyte Girardot, Liliane Rovère",France,Le Pacte,130 560,"3,0","3,0",724367,5080800.0,Autumn
zero dark thirty,2013-01-23,"Thriller, Action",149,Kathryn Bigelow,Mark Boal,"Jessica Chastain, Jason Clarke, Joel Edgerton",U.S.A.,Universal Pictures International France,237 214,"4,1","3,9",1013603,40000000.0,Winter
x-men: first class,2011-06-01,"Science fiction, Action",131,Matthew Vaughn,"Ashley Edward Miller, Zack Stentz","James McAvoy, Michael Fassbender, Jennifer Lawrence",U.S.A.,Twentieth Century Fox France,937 704,"3,6","4,0",3210513,0.0,Summer
enquête sur un scandale d'état,2022-02-09,"Biopic, Drame, Thriller",123,Thierry de Peretti,"Thierry de Peretti, Jeanne Aptekman","Roschdy Zem, Pio Marmaï, Vincent Lindon",France,Pyramide Distribution,101 542,"4,1","2,7",140936,0.0,Winter
shark tale,2004-10-13,"Animation, Comédie, Aventure",100,Bibo Bergeron,"Vicky Jenson, Rob Letterman, Mark Swift, Michael J. Wilson","Will Smith, Robert De Niro, Renée Zellweger",U.S.A.,United International Pictures (UIP),630 561,"2,8","2,7",256018,75000000.0,Autumn
la rafle,2010-03-10,"Historique, Drame, Action",115,Rose Bosch,Rose Bosch,"Mélanie Laurent, Jean Reno, Gad Elmaleh",France,Gaumont Distribution,812 932,"2,8","3,7",1788139,20000000.0,Spring
harka,2022-11-02,Drame,82,Lotfy Nathan,Lotfy Nathan,"Adam Bessa, Salima Maatoug, Ikbal Harbi",France,Dulac Distribution,9 053,"4,0","3,8",81058,0.0,Autumn
mean girls,2005-01-26,Comédie,98,Mark Waters,Tina Fey,"Lindsay Lohan, Rachel McAdams, Amanda Seyfried",U.S.A.,United International Pictures (UIP),145 101,"2,9","2,7",386435,17000000.0,Winter
onoda,2021-07-21,"Drame, Guerre, Historique",167,Arthur Harari,"Arthur Harari, Vincent Poymiro","Yûya Endô, Kanji Tsuda, Yuya Matsuura",France,Le Pacte,14 592,"4,4","4,0",220338,4700000.0,Summer
pokémon detective pikachu,2019-05-08,"Aventure, Action",105,Rob Letterman,"Dan Hernandez, Benji Samit","Ryan Reynolds, Justice Smith, Kathryn Newton",U.S.A.,Warner Bros. France,736 574,"3,1","3,5",568656,150000000.0,Spring
kari-gurashi no arietti,2011-01-12,"Animation, Fantastique, Aventure, Famille",94,Hiromasa Yonebayashi,"Hayao Miyazaki, Keiko Niwa","Moises Arias, Bridgit Mendler, David Henrie",Japon,The Walt Disney Company France,183 156,"3,7","4,1",1951671,23000000.0,Winter
changeling,2008-11-12,"Drame, Thriller, Biopic",141,Clint Eastwood,J. Michael Straczynski,"Angelina Jolie, John Malkovich, Michael Kelly",U.S.A.,Universal Pictures International France,452 651,"4,1","4,2",783805,55000000.0,Autumn
memoirs of a geisha,2006-03-01,"Drame, Romance",145,Rob Marshall,"Robin Swicord, Doug Wright","Eugenia Yuan, Ziyi Zhang, Gong Li",U.S.A.,Mars Distribution,266 385,"2,7","3,9",372728,85000000.0,Spring
bir zamanlar anadolu'da,2011-11-02,"Drame, Thriller",157,Nuri Bilge Ceylan,"Nuri Bilge Ceylan, Ebru Ceylan","Muhammed Uzuner, Yılmaz Erdoğan, Taner Birsel",Turquie,Memento Distribution,27 028,"3,7","3,3",221614,0.0,Autumn
le petit hérisson dans la brume et autres merveilles,2023-04-05,"Animation, Famille",39,Yuri Norstein,"Roman Kachanov, Eduard Nazarov","Philippe Caubère, Bruno Raffaelli, Anna Choupisson",Autres,Malavida Films,3 154,"4,3","2,9",4086,0.0,Spring
d'après une histoire vraie,2017-11-01,"Drame, Thriller",101,Roman Polanski,"Olivier Assayas, Roman Polanski","Emmanuelle Seigner, Eva Green, Vincent Perez",France,Mars Films,67 631,"2,4","2,1",377057,11329550.0,Autumn
papa ou maman,2015-02-04,"Comédie, Romance",85,Martin Bourboulon,"Guillaume Clicquot, Jérôme Fansten","Marina Foïs, Laurent Lafitte, Alexandre Desrousseaux",France,Pathé,757 255,"3,6","3,3",2028021,0.0,Winter
eragon,2006-12-20,Fantastique,105,Stefen Fangmeier,Peter Buchman,"Ed Speleers, Jeremy Irons, Sienna Guillory",U.S.A.,Twentieth Century Fox France,792 503,"2,7","2,0",1136103,100000000.0,Winter
the texas chainsaw massacre,2004-01-21,Epouvante-horreur,98,Marcus Nispel,"Scott Kosar, Tobe Hooper","Jessica Biel, Jonathan Tucker, Erica Leerhsen",U.S.A.,Focus Features,139 536,"3,0","2,9",172204,9500000.0,Winter
orel & gringe,2015-12-09,"Comédie, Comédie musicale",90,Orelsan,"Christophe Offenstein,  Orelsan, Christophe Offenstein"," Orelsan,  Gringe, Seydou Doucouré",France,Orange Studio,98 370,"3,4","3,9",752070,0.0,Winter
morning glory,2011-04-06,"Romance, Comédie dramatique",107,Roger Michell,Aline Brosh McKenna,"Rachel McAdams, Harrison Ford, Diane Keaton",U.S.A.,Paramount Pictures France,121 428,"3,1","3,1",892295,40000000.0,Spring
once again,2019-04-24,"Drame, Romance",101,Kanwal Sethi,Kanwal Sethi,"Shefali Shah, Neeraj Kabi, Bidita Bag",Inde,Les Films de la Haute-Vallée,57,"2,7",--,3094,0.0,Spring
rampage,2018-05-02,"Aventure, Action",108,Brad Peyton,"Ryan Engle, Carlton Cuse","Dwayne Johnson, Naomie Harris, Malin Åkerman",U.S.A.,Warner Bros. France,344 794,"2,3","2,9",271133,120000000.0,Spring
hancock,2008-07-09,"Action, Comédie, Drame, Science fiction",92,Peter Berg,"Vincent Ngo, Vince Gilligan","Thomas Lennon, Will Smith, Charlize Theron",U.S.A.,Sony Pictures Releasing France,1 265 163,"2,8","3,2",1158319,150000000.0,Summer
largo winch,2008-12-17,"Action, Aventure",108,Jérôme Salle,"Julien Rappeneau, Jérôme Salle","Tomer Sisley, Kristin Scott Thomas, Predrag 'Miki' Manojlovic",France,Wild Bunch Distribution,556 147,"3,3","2,8",683827,25412760.0,Winter
la vérité si je mens ! 2,2001-02-07,Comédie,105,Thomas Gilou,"Gérard Bitton, Michel Munz","Richard Anconina, José Garcia, Gad Elmaleh",France,Warner Bros. France,2 830 489,"3,7","2,8",47624,12560000.0,Winter
les invisibles,2019-01-09,"Comédie, Drame",102,Louis-Julien Petit,"Louis-Julien Petit, Marion Doussot","Audrey Lamy, Corinne Masiero, Noémie Lvovsky",France,Apollo Films,384 239,"3,6","3,9",689931,0.0,Winter
tout ce qui brille,2010-03-24,Comédie,100,Géraldine Nakache,"Hervé Mimran, Hervé Mimran, Géraldine Nakache","Leïla Bekhti, Géraldine Nakache, Audrey Lamy",France,Pathé,386 771,"3,8","3,1",1617237,0.0,Spring
brice 3,2016-10-19,Comédie,95,James Huth,"Jean Dujardin, James Huth","Jean Dujardin, Clovis Cornillac, Bruno Salomone",France,Gaumont Distribution,1 100 295,"2,6","1,6",496838,0.0,Autumn
jupiter ascending,2015-02-04,"Science fiction, Aventure, Action",127,Lilly Wachowski,"Lana Wachowski, Lilly Wachowski, Lana Wachowski","Mila Kunis, Channing Tatum, Sean Bean",U.S.A.,Warner Bros. France,363 580,"3,0","2,4",776024,176000003.0,Winter
méduse,2022-10-26,"Drame, Romance",86,Sophie Levy (II),Sophie Levy (II),"Anamaria Vartolomei, Roxane Mesquida, Arnaud Valois",France,Wayna Pitch,1 847,"3,4","2,9",12390,0.0,Autumn
belle et sébastien : nouvelle génération,2022-10-19,"Aventure, Famille",97,Pierre Coré,"Pierre Coré, Alexandre Coffre","Michèle Laroque, Robinson Mensah-Rouanet, Alice David",France,Gaumont Distribution,179 709,"3,2","3,1",134823,0.0,Autumn
kaguya-hime no monogatari,2014-06-25,"Animation, Drame, Fantastique, Famille",137,Isao Takahata,"Isao Takahata, Riko Sakaguchi","Aki Asakura, Kengo Kora, Takeo Chii",Japon,The Walt Disney Company France,74 916,"4,5","4,4",837531,49300000.0,Summer
riddick,2013-09-18,"Science fiction, Action",119,David Twohy,"Oliver Butcher, Stephen Cornwell","Vin Diesel, Karl Urban, Katee Sackhoff",U.S.A.,Metropolitan FilmExport,254 478,"2,6","2,8",977353,38000000.0,Autumn
furie,2019-11-06,"Thriller, Epouvante-horreur",97,Olivier Abbou,"Olivier Abbou, Aurélien Molas","Adama Niane, Stéphane Caillard, Paul Hamy",France,New Story,7 045,"3,3","2,4",203752,0.0,Autumn
un beau soleil intérieur,2017-09-27,"Comédie, Romance",95,Claire Denis,"Christine Angot, Claire Denis","Juliette Binoche, Xavier Beauvois, Nicolas Duvauchelle",France,Ad Vitam,130 835,"3,5","1,9",236542,2978000.0,Autumn
the squid and the whale,2006-07-12,Comédie dramatique,81,Noah Baumbach,Noah Baumbach,"Jeff Daniels, Laura Linney, Jesse Eisenberg",U.S.A.,Gaumont Columbia Tristar Films,23 831,"3,9","2,9",44925,1500000.0,Summer
self/less,2015-07-29,"Science fiction, Thriller",118,Tarsem Singh,"David Pastor, Àlex Pastor","Ryan Reynolds, Ben Kingsley, Natalie Martinez",U.S.A.,SND,233 121,"2,7","3,4",768040,26000000.0,Summer
the spiderwick chronicles,2008-04-16,Fantastique,97,Mark Waters,"Karey Kirkpatrick, David Berenbaum","Freddie Highmore, Mary-Louise Parker, Sarah Bolger",U.S.A.,Paramount Pictures France,334 691,"3,2","3,1",612945,90000000.0,Spring
captain america: civil war,2016-04-27,"Action, Fantastique",148,Anthony Russo,"Joe Russo, Christopher Markus, Stephen McFeely","Chris Evans, Robert Downey Jr., Scarlett Johansson",U.S.A.,The Walt Disney Company France,1 354 401,"3,2","3,9",951036,250000000.0,Spring
gräns,2019-01-09,"Drame, Fantastique",110,Ali Abbasi,"Ali Abbasi, Isabella Eklöf","Eva Melander, Eero Milonoff, Jörgen Thorsson",Suède,Metropolitan FilmExport,33 434,"3,8","3,5",543914,0.0,Winter
rambo: last blood,2019-09-25,Action,100,Adrian Grunberg,"Matt Cirulnick, Sylvester Stallone","Sylvester Stallone, Yvette Monreal, Adriana Barraza",U.S.A.,Metropolitan FilmExport,303 489,"2,1","3,3",236411,50000000.0,Autumn
wanted,2008-07-16,Action,110,Timur Bekmambetov,"Michael Brandt, Derek Haas","James McAvoy, Angelina Jolie, Morgan Freeman",U.S.A.,Universal Pictures International France,473 478,"2,7","3,0",773418,75000000.0,Summer
l’affaire sk1,2015-01-07,"Drame, Policier",120,Frédéric Tellier,"Frédéric Tellier, David Oelhoffen","Raphaël Personnaz, Nathalie Baye, Olivier Gourmet",France,SND,167 104,"3,8","3,9",1281630,5290000.0,Winter
dilili à paris,2018-10-10,"Animation, Famille",95,Michel Ocelot,Michel Ocelot,"Enzo Ratsito, Natalie Dessay, Elisabeth Duda",France,Mars Films,134 356,"3,6","3,9",405907,0.0,Autumn
legally blonde,2001-12-12,"Comédie, Romance",96,Robert Luketic,"Kirsten Smith, Karen McCullah Lutz","Reese Witherspoon, Luke Wilson, Selma Blair",U.S.A.,UFD,121 380,"3,3","2,4",66162,18000000.0,Winter
terminator salvation,2009-06-03,"Science fiction, Action, Aventure",108,McG,"John Brancato, Michael Ferris","Christian Bale, Sam Worthington, Anton Yelchin",U.S.A.,Sony Pictures Releasing France,756 323,"2,7","3,3",1477289,200000000.0,Summer
monster,2004-04-14,"Drame, Biopic",111,Patty Jenkins,Patty Jenkins,"Charlize Theron, Christina Ricci, Bruce Dern",U.S.A.,Metropolitan FilmExport,148 510,"3,7","3,7",95939,8000000.0,Spring
"les municipaux, ces héros",2018-04-18,Comédie,88,Eric Carrière,"Francis Ginibre, Eric Carrière","Eric Carrière, Francis Ginibre, Bruno Lochet",France,Apollo Films,71 770,"2,0","1,8",377066,0.0,Spring
"calamity, une enfance de martha jane cannary",2020-10-14,"Animation, Famille",82,Rémi Chayé,"Rémi Chayé, Fabrice De Costil","Salomé Boulven, Alexandra Lamy, Alexis Tomassian",France,Gebeka Films,60 051,"4,1","4,0",89000,0.0,Autumn
road to perdition,2002-09-11,"Drame, Thriller",125,Sam Mendes,David Self,"Tom Hanks, Tyler Hoechlin, Paul Newman",U.S.A.,UFD,320 872,"3,7","3,9",75621,80000000.0,Autumn
the expendables,2010-08-18,Action,105,Sylvester Stallone,"Sylvester Stallone, Dave Callaham","Sylvester Stallone, Jason Statham, Jet Li",U.S.A.,Metropolitan FilmExport,773 121,"2,8","2,9",3155495,80000000.0,Summer
99 moons,2023-05-10,"Drame, Romance",111,Jan Gassmann,Jan Gassmann,"Valentina Di Pace, Dominik Fellmann, Danny Exnar",Suisse,La Vingt-Cinquième Heure,1 170,"2,6","2,7",64991,0.0,Spring
trenque lauquen parte ii,2023-05-03,Drame,133,Laura Citarella,"Laura Citarella, Laura Paredes","Laura Paredes, Juliana Muras, Ezequiel Pierri",Argentine,Capricci Films,1 913,"4,2","3,4",79318,0.0,Spring
un monde plus grand,2019-10-30,Drame,100,Fabienne Berthaud,"Fabienne Berthaud, Claire Barré","Cécile de France, Narantsetseg Dash, Tserendarizav Dashnyam",France,Haut et Court,96 610,"3,2","3,7",406875,0.0,Autumn
atomic blonde,2017-08-16,"Action, Espionnage",115,David Leitch,Kurt Johnstad,"Charlize Theron, James McAvoy, Eddie Marsan",U.S.A.,Universal Pictures International France,233 245,"2,9","3,1",601639,30000000.0,Summer
pompoko,2006-01-18,"Animation, Comédie dramatique",114,Isao Takahata,Isao Takahata,"Makoto Nonomura, Yuriko Ishida, Akira Kamiya",Japon,Wild Bunch Distribution,83 328,"4,4","3,7",132303,0.0,Winter
remember the titans,2001-04-18,"Drame, Historique",114,Boaz Yakin,Gregory Allen Howard,"Denzel Washington, Will Patton, Gregory Alan Williams",U.S.A.,Gaumont Buena Vista International (GBVI),179 097,"2,8","4,0",73398,30000000.0,Spring
planetarium,2016-11-16,Drame,105,Rebecca Zlotowski,"Robin Campillo, Rebecca Zlotowski","Natalie Portman, Lily-Rose Depp, Emmanuel Salinger",France,Ad Vitam,50 383,"3,1","2,1",193441,0.0,Autumn
un crime au paradis,2001-02-28,Comédie,90,Jean Becker,"Sébastien Japrisot, Jean Becker","Jacques Villeret, Josiane Balasko, André Dussollier",France,UFD,430 404,"2,9","3,1",55717,0.0,Winter
paradise beach,2019-02-20,"Thriller, Action",93,Xavier Durringer,"Xavier Durringer, Jean Miez","Sami Bouajila, Tewfik Jallab, Mélanie Doutey",France,Océan Films,29 342,"1,7","2,0",246311,0.0,Winter
the hunger games - mockingjay: part 2,2015-11-18,"Aventure, Science fiction, Guerre",137,Francis Lawrence,"Danny Strong, Peter Craig","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",U.S.A.,Metropolitan FilmExport,1 231 013,"3,0","3,4",463128,160000000.0,Autumn
aux yeux de tous,2012-04-04,Thriller,85,Cédric Jimenez,"Audrey Diwan, Cédric Jimenez","Mélanie Doutey, Olivier Barthelemy, Francis Renaud",France,DistriB Films,32 459,"3,1","3,0",834425,0.0,Spring
de l'autre côté du périph,2012-12-19,"Comédie, Action",96,David Charhon,"Julien War, Rémy Four","Omar Sy, Laurent Lafitte, Sabrina Ouazani",France,Mars Films,558 144,"2,9","2,6",2074387,0.0,Winter
a hidden life,2019-12-11,"Drame, Biopic",174,Terrence Malick,Terrence Malick,"August Diehl, Valerie Pachner, Maria Simon",U.S.A.,"Orange Studio Distribution , UGC Distribution",63 422,"3,8","3,9",350003,9000000.0,Winter
immortals,2011-11-23,"Action, Fantastique, Aventure",110,Tarsem Singh,"Charley Parlapanides, Vlas Parlapanides","Henry Cavill, Mickey Rourke, Luke Evans",U.S.A.,Metropolitan FilmExport,210 005,"1,9","2,4",3051663,75000000.0,Autumn
in bruges,2008-06-25,"Policier, Comédie dramatique",101,Martin McDonagh,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ralph Fiennes",Grande-Bretagne,SND,127 565,"4,1","3,7",277795,15000000.0,Summer
casse-tête chinois,2013-12-04,"Comédie dramatique, Romance",117,Cédric Klapisch,Cédric Klapisch,"Romain Duris, Audrey Tautou, Cécile de France",France,StudioCanal,513 407,"3,4","3,8",998037,0.0,Winter
the hangover part iii,2013-05-29,Comédie,100,Todd Phillips,"Todd Phillips, Craig Mazin","Bradley Cooper, Ed Helms, Zach Galifianakis",U.S.A.,Warner Bros. France,944 983,"2,3","2,9",655213,103000000.0,Spring
le petit piaf,2022-12-21,"Comédie dramatique, Musical",95,Gérard Jugnot,"Serge Lamadie, Alexandre Fouchard","Marc Lavoine, Soan Arhimann, Gérard Jugnot",France,Gaumont Distribution,65 637,"2,1","2,7",142216,0.0,Winter
mirrors,2008-09-10,"Thriller, Epouvante-horreur",111,Alexandre Aja,"Grégory Levasseur, Alexandre Aja","Kiefer Sutherland, Paula Patton, Cameron Boyce",U.S.A.,Twentieth Century Fox France,270 459,"3,0","3,1",729317,35000000.0,Autumn
les saveurs du palais,2012-09-19,Comédie,95,Christian Vincent,"Etienne Comar, Christian Vincent","Catherine Frot, Jean d'Ormesson, Hippolyte Girardot",France,Wild Bunch Distribution,316 810,"3,2","3,2",2533374,0.0,Autumn
on sourit pour la photo,2022-05-11,"Comédie, Romance",96,François Uzan,François Uzan,"Jacques Gamblin, Pascale Arbillot, Pablo Pauly",France,UGC Distribution,37 740,"3,5","2,8",76050,0.0,Spring
jalouse,2017-11-08,Comédie,107,David Foenkinos,"Stéphane Foenkinos, David Foenkinos, Stéphane Foenkinos","Karin Viard, Dara Tombroff, Anne Dorval",France,StudioCanal,315 948,"3,3","3,4",660281,0.0,Autumn
grand paris,2023-03-29,Comédie,72,Martin Jauvat,Martin Jauvat,"Mahamadou Sangaré, Martin Jauvat, William Lebghil",France,JHR Films,6 676,"3,7","3,2",81842,200000.0,Spring
spring breakers,2013-03-06,"Drame, Policier",94,Harmony Korine,Harmony Korine,"James Franco, Vanessa Hudgens, Selena Gomez",U.S.A.,Mars Films,277 968,"3,7","2,2",794639,5000000.0,Spring
absolutely anything,2015-08-12,"Comédie, Science fiction",86,Terry Jones,"Terry Jones, Gavin Scott","Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar",Grande-Bretagne,Océan Films,66 171,"2,3","2,7",231393,0.0,Summer
toute première fois,2015-01-28,"Comédie, Romance",90,Noémie Saglio,"Maxime Govare, Noémie Saglio, Maxime Govare","Pio Marmaï, Lannick Gautry, Adriane Gradziel",France,Gaumont Distribution,223 817,"3,1","3,3",1275058,0.0,Winter
